,True_index,Store_ID,Day_of_week,Date,Nb_customers_on_day,Open,Promotion,State_holiday,School_holiday
160,1601,1000,7,2013-07-07,0,0,0,0,0
161,1603,655,3,2015-04-29,905,1,1,0,0
162,1640,317,2,2015-05-05,510,1,1,0,0
163,1646,993,7,2014-05-25,0,0,0,0,0
164,1651,1019,7,2013-08-04,0,0,0,0,0
165,1652,453,6,2014-08-02,1370,1,0,0,0
166,1670,213,7,2013-05-19,0,0,0,0,0
167,1677,764,4,2014-06-19,0,0,1,a,0
168,1691,949,4,2014-06-19,536,1,1,0,0
169,1704,210,2,2013-04-16,231,1,0,0,0
170,1707,116,4,2015-04-02,1076,1,1,0,1
171,1718,121,5,2014-08-29,623,1,0,0,1
172,1721,717,2,2013-06-18,513,1,1,0,0
173,1733,577,7,2013-11-10,0,0,0,0,0
174,1737,730,4,2014-01-23,948,1,1,0,0
175,1748,182,6,2014-08-16,419,1,0,0,1
176,1776,577,5,2014-11-07,580,1,1,0,0
177,1804,75,2,2014-04-29,672,1,1,0,1
178,1821,843,1,2013-12-09,1047,1,0,0,0
179,1839,486,3,2015-05-27,483,1,0,0,0
180,1845,370,3,2015-07-01,550,1,1,0,1
181,1853,341,6,2015-03-28,721,1,0,0,0
182,1888,451,6,2014-08-23,409,1,0,0,1
183,1895,421,3,2014-01-15,677,1,0,0,0
184,1899,359,3,2014-03-05,630,1,1,0,0
185,1923,440,6,2013-11-16,391,1,0,0,0
186,1934,1010,5,2015-05-08,894,1,1,0,0
187,1937,921,5,2015-06-05,1116,1,1,0,0
188,1940,804,6,2013-02-23,520,1,0,0,0
189,1953,271,7,2013-10-20,0,0,0,0,0
190,1968,208,6,2014-03-08,421,1,0,0,0
191,1975,456,4,2013-05-30,0,0,1,a,0
192,1981,829,6,2013-05-11,898,1,0,0,0
193,1984,624,4,2014-03-13,629,1,0,0,0
194,1997,104,5,2015-07-31,1223,1,1,0,1
195,2024,709,2,2013-06-11,1381,1,0,0,0
196,2032,322,1,2014-05-05,818,1,1,0,0
197,2036,595,6,2014-06-28,1698,1,0,0,0
198,2051,708,3,2013-11-27,367,1,0,0,0
199,2061,1035,7,2014-10-19,0,0,0,0,0
200,2082,329,2,2015-06-23,555,1,0,0,0
201,2093,446,7,2013-08-25,0,0,0,0,0
202,2096,366,5,2013-12-13,660,1,0,0,0
203,2107,306,4,2015-07-02,538,1,1,0,0
204,2115,1011,5,2015-07-24,647,1,0,0,1
205,2117,977,2,2013-08-20,437,1,0,0,1
206,2137,918,6,2013-07-27,315,1,0,0,0
207,2156,1034,2,2013-02-19,853,1,1,0,0
208,2160,56,7,2014-02-09,0,0,0,0,0
209,2186,630,4,2013-08-01,945,1,1,0,1
210,2188,801,5,2014-05-30,732,1,0,0,1
211,2204,801,1,2014-09-01,687,1,1,0,0
212,2217,29,6,2014-08-16,571,1,0,0,0
213,2224,58,6,2013-05-25,447,1,0,0,0
214,2228,259,3,2014-03-19,1967,1,1,0,0
215,2233,715,3,2013-12-18,1098,1,1,0,0
216,2246,570,6,2014-11-15,463,1,0,0,0
217,2254,380,4,2013-09-26,1269,1,1,0,0
218,2275,1086,5,2013-11-15,940,1,0,0,0
219,2281,624,4,2013-02-28,716,1,0,0,0
220,2287,423,3,2014-08-13,1895,1,0,0,1
221,2300,801,1,2014-06-02,691,1,1,0,0
222,2305,191,1,2015-07-27,845,1,1,0,0
223,2306,83,1,2014-04-14,408,1,1,0,1
224,2313,406,4,2013-02-28,324,1,0,0,0
225,2315,402,6,2014-03-08,647,1,0,0,0
226,2320,461,2,2015-01-20,400,1,0,0,0
227,2322,1051,4,2013-09-19,789,1,0,0,0
228,2324,743,4,2014-03-20,418,1,1,0,0
229,2328,357,3,2013-11-06,1134,1,1,0,0
230,2335,835,3,2014-02-05,693,1,1,0,0
231,2340,442,5,2013-08-09,352,1,0,0,1
232,2352,402,7,2014-12-28,0,0,0,0,0
233,2381,36,2,2014-01-14,829,1,0,0,0
234,2383,402,1,2013-09-30,598,1,0,0,0
235,2408,1054,6,2014-05-24,402,1,0,0,0
236,2422,377,2,2013-10-29,815,1,0,0,0
237,2424,998,4,2014-03-13,504,1,0,0,0
238,2425,1066,7,2014-06-15,0,0,0,0,0
239,2428,433,6,2014-08-23,453,1,0,0,0
240,2435,725,3,2015-07-08,541,1,0,0,0
241,2456,2,1,2014-05-05,751,1,1,0,0
242,2471,689,7,2013-09-08,0,0,0,0,0
243,2474,141,1,2015-03-09,597,1,0,0,0
244,2493,1083,2,2013-05-14,340,1,1,0,0
245,2495,912,5,2013-05-10,995,1,0,0,1
246,2501,913,7,2015-02-15,0,0,0,0,0
247,2511,569,2,2013-12-31,362,1,0,0,1
248,2519,520,2,2013-06-25,366,1,0,0,1
249,2522,525,4,2013-01-31,828,1,0,0,0
250,2526,829,4,2014-12-11,726,1,0,0,0
251,2527,699,2,2015-03-31,1099,1,1,0,1
252,2539,692,4,2013-10-24,807,1,1,0,1
253,2550,1017,5,2015-03-20,913,1,1,0,0
254,2562,570,7,2014-12-28,0,0,0,0,0
255,2572,578,6,2013-10-05,829,1,0,0,0
256,2573,148,2,2014-03-25,691,1,0,0,0
257,2576,745,3,2014-10-01,846,1,1,0,0
258,2579,1115,5,2013-09-06,361,1,0,0,0
259,2580,780,1,2015-02-09,654,1,0,0,1
260,2594,164,1,2013-11-11,625,1,0,0,0
261,2600,820,4,2013-02-14,957,1,0,0,1
262,2602,374,1,2013-04-08,1116,1,1,0,0
263,2621,551,7,2013-12-22,0,0,0,0,0
264,2641,495,7,2014-04-20,0,0,0,0,0
265,2651,216,2,2013-05-21,969,1,0,0,1
266,2669,67,5,2015-07-10,706,1,0,0,0
267,2686,674,3,2013-07-17,1218,1,1,0,0
268,2694,940,6,2014-02-01,608,1,0,0,0
269,2699,676,5,2013-01-18,1157,1,0,0,0
270,2700,118,1,2014-09-22,562,1,0,0,0
271,2747,128,5,2015-03-06,662,1,1,0,0
272,2759,1109,1,2013-10-07,663,1,1,0,0
273,2763,871,1,2014-04-28,538,1,1,0,0
274,2794,208,5,2014-10-03,0,0,1,a,0
275,2797,591,7,2013-12-01,0,0,0,0,0
276,2812,82,1,2014-05-05,1071,1,1,0,0
277,2815,15,3,2013-01-09,608,1,1,0,0
278,2824,815,7,2013-01-13,0,0,0,0,0
279,2829,34,2,2014-09-09,899,1,0,0,0
280,2830,224,1,2013-12-02,628,1,1,0,0
281,2852,1074,3,2014-11-05,566,1,1,0,0
282,2855,126,1,2014-09-01,730,1,1,0,0
283,2858,111,7,2015-06-21,0,0,0,0,0
284,2870,947,3,2014-11-12,1174,1,1,0,0
285,2881,721,4,2013-03-14,715,1,0,0,0
286,2884,495,3,2014-12-24,344,1,0,0,1
287,2887,696,6,2013-11-02,776,1,0,0,0
288,2890,1109,1,2013-12-23,916,1,0,0,1
289,2897,562,4,2015-04-23,2759,1,0,0,0
290,2909,241,2,2013-01-29,449,1,0,0,0
291,2917,964,3,2014-11-12,1249,1,1,0,0
292,2929,972,5,2013-03-01,452,1,0,0,0
293,2937,618,4,2014-07-17,506,1,1,0,0
294,2962,690,2,2014-05-06,886,1,1,0,0
295,2985,987,4,2013-05-16,930,1,1,0,0
296,2997,870,2,2015-01-27,926,1,1,0,0
297,3007,422,1,2015-03-09,458,1,0,0,0
298,3015,826,3,2014-10-29,716,1,0,0,0
299,3020,266,3,2014-08-13,433,1,0,0,1
300,3030,907,3,2013-11-06,728,1,1,0,0
301,3035,662,6,2014-07-12,646,1,0,0,0
302,3048,369,2,2015-01-27,511,1,1,0,0
303,3075,901,5,2014-06-20,688,1,1,0,0
304,3079,404,2,2014-03-18,715,1,1,0,0
305,3087,841,1,2014-08-04,535,1,1,0,1
306,3091,65,4,2013-12-19,721,1,1,0,0
307,3103,904,3,2014-04-30,636,1,1,0,0
308,3107,530,1,2013-04-01,996,1,0,b,1
309,3120,745,7,2014-02-16,0,0,0,0,0
310,3126,608,4,2014-08-07,949,1,1,0,1
311,3127,387,1,2015-03-16,1455,1,1,0,0
312,3131,854,5,2014-12-12,679,1,0,0,0
313,3142,938,6,2013-08-03,834,1,0,0,1
314,3143,209,5,2014-04-18,0,0,1,b,1
315,3146,166,1,2013-12-09,819,1,0,0,0
316,3157,738,2,2013-10-22,602,1,1,0,1
317,3162,652,3,2015-03-18,649,1,1,0,0
318,3165,113,5,2014-03-07,833,1,1,0,1
319,3168,18,7,2015-07-26,0,0,0,0,0
320,3170,748,4,2014-05-29,0,0,0,a,0
321,3172,451,2,2013-12-17,558,1,1,0,0
322,3175,491,4,2013-12-12,474,1,0,0,0
323,3179,26,4,2013-01-03,529,1,0,0,1
324,3188,388,6,2013-06-22,933,1,0,0,0
325,3194,87,7,2013-12-29,0,0,0,0,0
326,3200,450,3,2014-09-24,743,1,0,0,0
327,3209,334,1,2013-08-05,495,1,0,0,1
328,3231,1018,6,2013-06-29,1379,1,0,0,0
329,3235,1049,3,2013-01-02,631,1,0,0,1
330,3238,148,2,2013-02-12,793,1,0,0,0
331,3276,394,4,2014-06-05,733,1,1,0,0
332,3283,841,7,2014-04-20,0,0,0,0,0
333,3286,284,4,2013-11-21,415,1,1,0,0
334,3306,648,7,2013-05-26,0,0,0,0,0
335,3328,913,3,2015-07-15,1268,1,1,0,0
336,3340,474,5,2014-03-07,800,1,1,0,0
337,3347,726,7,2014-09-14,0,0,0,0,0
338,3351,968,3,2013-06-26,765,1,0,0,0
339,3357,122,3,2014-05-28,975,1,0,0,0
340,3364,625,6,2013-10-12,496,1,0,0,0
341,3374,476,5,2014-10-10,747,1,1,0,0
342,3402,853,4,2014-11-13,1013,1,1,0,0
343,3407,336,4,2015-06-04,0,0,1,a,0
344,3420,994,1,2013-07-15,667,1,1,0,0
345,3434,272,5,2013-02-01,654,1,0,0,0
346,3436,223,4,2014-07-24,512,1,0,0,1
347,3442,855,5,2014-06-20,845,1,1,0,1
348,3448,405,5,2015-07-31,530,1,1,0,1
349,3456,440,1,2013-01-14,578,1,0,0,0
350,3467,819,4,2013-07-11,512,1,0,0,1
351,3473,61,2,2014-04-22,610,1,0,0,1
352,3486,1110,3,2014-12-17,674,1,1,0,0
353,3496,127,1,2013-10-14,529,1,0,0,0
354,3509,121,2,2013-10-08,623,1,1,0,0
355,3517,151,1,2013-12-09,624,1,0,0,0
356,3519,518,5,2014-05-02,768,1,1,0,0
357,3521,472,2,2013-02-12,651,1,0,0,0
358,3534,953,6,2015-01-24,210,1,0,0,0
359,3539,797,6,2013-04-27,367,1,0,0,0
360,3551,722,4,2015-07-02,1466,1,1,0,0
361,3556,977,4,2013-09-19,466,1,0,0,0
362,3559,1027,3,2013-10-02,1398,1,0,0,0
363,3573,840,5,2013-03-15,1054,1,0,0,0
364,3600,456,5,2015-01-16,914,1,1,0,0
365,3602,873,6,2014-07-26,245,1,0,0,0
366,3617,719,6,2013-01-26,442,1,0,0,0
367,3635,857,6,2013-01-26,1126,1,0,0,0
368,3641,112,2,2014-11-25,828,1,1,0,0
369,3648,169,5,2014-01-24,814,1,1,0,0
370,3676,322,7,2014-08-10,0,0,0,0,0
371,3694,669,7,2014-05-25,0,0,0,0,0
372,3707,605,2,2013-07-16,488,1,1,0,0
373,3708,1074,5,2013-07-26,496,1,0,0,1
374,3716,434,6,2013-04-13,840,1,0,0,0
375,3734,788,4,2014-05-01,0,0,1,a,0
376,3738,990,6,2013-03-30,862,1,0,0,0
377,3744,1061,6,2015-07-04,635,1,0,0,0
378,3746,608,3,2013-10-02,942,1,0,0,0
379,3749,745,1,2013-08-26,1149,1,1,0,0
380,3777,220,1,2014-08-25,620,1,0,0,0
381,3794,760,4,2015-04-30,1400,1,1,0,0
382,3804,65,2,2013-05-07,407,1,0,0,0
383,3813,523,1,2013-09-09,2330,1,1,0,0
384,3828,174,3,2015-03-04,448,1,1,0,0
385,3840,319,5,2014-06-06,1000,1,1,0,0
386,3843,427,3,2013-06-12,667,1,0,0,0
387,3844,107,7,2015-04-05,0,0,0,0,1
388,3856,317,1,2014-03-31,720,1,1,0,0
389,3864,937,3,2013-07-10,540,1,0,0,1
390,3865,1068,6,2015-01-10,361,1,0,0,0
391,3891,816,4,2014-08-07,682,1,1,0,1
392,3893,474,2,2014-01-14,660,1,0,0,0
393,3896,50,2,2013-10-08,383,1,1,0,1
394,3910,956,2,2013-01-08,668,1,1,0,0
395,3920,1044,6,2014-07-12,922,1,0,0,0
396,3922,1047,3,2015-03-04,586,1,1,0,0
397,3929,223,7,2014-03-02,0,0,0,0,0
398,3931,487,7,2014-08-03,0,0,0,0,0
399,3932,117,3,2014-07-23,408,1,0,0,1
400,3941,566,1,2014-05-12,491,1,0,0,0
401,3946,91,3,2014-11-19,440,1,0,0,0
402,3966,563,5,2015-07-10,489,1,0,0,1
403,3975,49,2,2014-06-03,596,1,1,0,0
404,3977,451,5,2015-04-03,0,0,1,b,1
405,3986,594,5,2013-03-01,463,1,0,0,0
406,3989,1114,1,2013-03-04,3424,1,1,0,1
407,3993,746,6,2014-09-06,573,1,0,0,0
408,3996,581,1,2013-02-25,515,1,0,0,0
409,4016,817,2,2013-03-05,3976,1,1,0,0
410,4020,731,6,2013-10-12,784,1,0,0,0
411,4023,687,7,2013-03-31,0,0,0,0,0
412,4031,54,6,2014-03-08,812,1,0,0,0
413,4040,65,3,2013-12-18,642,1,1,0,0
414,4041,906,7,2014-12-21,0,0,0,0,0
415,4042,375,7,2015-06-07,0,0,0,0,0
416,4052,221,6,2014-10-25,537,1,0,0,0
417,4067,505,7,2014-02-09,0,0,0,0,0
418,4071,541,5,2014-06-20,1137,1,1,0,0
419,4104,189,4,2014-08-28,672,1,0,0,1
420,4110,232,3,2014-04-09,253,1,0,0,0
421,4122,308,5,2014-07-18,872,1,1,0,1
422,4127,589,5,2013-12-20,769,1,1,0,0
423,4129,1044,5,2014-11-07,936,1,1,0,0
424,4130,527,7,2013-02-24,0,0,0,0,0
425,4162,564,3,2014-08-27,394,1,0,0,0
426,4180,22,5,2013-01-04,501,1,0,0,1
427,4181,321,6,2013-12-28,773,1,0,0,0
428,4190,73,2,2013-02-12,501,1,0,0,0
429,4195,1058,7,2014-03-23,0,0,0,0,0
430,4196,182,3,2015-02-25,359,1,0,0,0
431,4215,236,6,2014-09-27,501,1,0,0,0
432,4233,559,7,2013-08-04,0,0,0,0,0
433,4236,631,7,2013-11-03,0,0,0,0,0
434,4240,750,1,2013-12-09,387,1,0,0,0
435,4258,384,6,2013-09-07,494,1,0,0,0
436,4264,185,6,2015-06-20,428,1,0,0,0
437,4268,329,1,2014-10-20,773,1,1,0,0
438,4269,340,5,2015-05-22,828,1,1,0,0
439,4286,856,6,2014-04-12,947,1,0,0,0
440,4300,535,4,2014-08-07,960,1,1,0,1
441,4303,983,7,2014-11-09,0,0,0,0,0
442,4320,1007,6,2013-03-30,1539,1,0,0,0
443,4323,199,4,2015-01-08,581,1,1,0,0
444,4327,768,4,2014-10-23,1325,1,1,0,1
445,4339,317,3,2013-06-05,451,1,1,0,0
446,4354,620,4,2013-10-17,638,1,0,0,0
447,4366,86,1,2014-03-24,562,1,0,0,0
448,4371,112,2,2015-03-24,742,1,0,0,0
449,4388,93,3,2014-05-07,694,1,1,0,0
450,4422,59,2,2014-08-19,608,1,1,0,1
451,4433,187,7,2015-01-25,0,0,0,0,0
452,4434,551,4,2013-02-21,988,1,1,0,0
453,4436,739,2,2013-11-05,828,1,1,0,0
454,4452,533,5,2014-04-04,1073,1,1,0,0
455,4474,1013,2,2014-08-05,503,1,1,0,1
456,4482,442,6,2014-09-06,441,1,0,0,0
457,4495,5,7,2015-02-22,0,0,0,0,0
458,4521,621,1,2014-07-14,893,1,1,0,1
459,4552,138,6,2014-05-10,335,1,0,0,0
460,4555,466,3,2013-05-15,866,1,1,0,0
461,4556,154,6,2014-12-27,528,1,0,0,1
462,4560,561,5,2014-09-05,786,1,1,0,0
463,4577,344,5,2014-09-12,977,1,0,0,0
464,4586,45,3,2014-11-19,309,1,0,0,0
465,4589,339,3,2014-10-08,636,1,1,0,0
466,4618,198,7,2014-10-12,0,0,0,0,0
467,4620,71,6,2015-04-25,579,1,0,0,0
468,4642,312,5,2015-05-29,582,1,0,0,0
469,4654,540,1,2013-04-22,442,1,1,0,0
470,4674,755,3,2015-01-28,903,1,1,0,0
471,4684,1028,3,2014-12-24,416,1,0,0,1
472,4710,439,4,2014-01-09,914,1,1,0,0
473,4711,1000,6,2013-08-31,598,1,0,0,0
474,4717,982,4,2013-03-14,570,1,0,0,0
475,4736,361,1,2013-06-10,476,1,0,0,0
476,4745,164,4,2014-02-20,630,1,1,0,0
477,4747,535,3,2015-04-22,863,1,0,0,0
478,4767,19,2,2014-09-09,611,1,0,0,0
479,4774,992,1,2014-09-01,898,1,1,0,0
480,4790,149,5,2013-05-24,461,1,0,0,1
481,4792,529,4,2014-05-22,752,1,1,0,0
482,4796,469,1,2013-08-19,1289,1,0,0,0
483,4799,256,5,2013-12-13,1361,1,0,0,0
484,4819,825,3,2013-12-18,571,1,1,0,0
485,4828,465,4,2014-11-06,577,1,1,0,0
486,4840,77,2,2013-01-29,463,1,0,0,0
487,4844,329,5,2014-01-24,699,1,1,0,0
488,4851,551,6,2013-10-12,707,1,0,0,0
489,4870,561,7,2014-01-19,0,0,0,0,0
490,4878,130,7,2014-02-16,0,0,0,0,0
491,4894,816,6,2014-06-21,597,1,0,0,0
492,4898,434,7,2014-03-23,0,0,0,0,0
493,4919,671,1,2015-03-02,779,1,1,0,0
494,4923,608,4,2013-10-03,0,0,0,a,0
495,4924,540,7,2013-08-04,0,0,0,0,0
496,4933,921,6,2014-04-26,484,1,0,0,0
497,4977,484,4,2013-03-07,727,1,1,0,0
498,4987,1041,1,2013-12-16,819,1,1,0,0
499,4994,553,6,2013-08-10,674,1,0,0,0
500,5005,491,6,2014-02-15,448,1,0,0,0
501,5007,942,6,2014-01-11,507,1,0,0,0
502,5009,324,5,2014-04-11,641,1,0,0,0
503,5016,45,5,2013-06-21,494,1,1,0,0
504,5031,248,7,2015-02-08,0,0,0,0,0
505,5032,325,5,2014-02-14,641,1,0,0,0
506,5049,869,1,2015-06-29,1155,1,1,0,0
507,5052,1020,1,2013-02-04,1333,1,1,0,0
508,5053,475,5,2014-01-03,932,1,0,0,1
509,5087,1056,6,2015-05-09,529,1,0,0,0
510,5101,368,3,2015-02-04,724,1,1,0,0
511,5132,976,7,2014-05-18,0,0,0,0,0
512,5171,52,2,2013-08-20,465,1,0,0,1
513,5178,265,4,2014-04-24,437,1,0,0,1
514,5189,71,1,2015-05-04,1011,1,1,0,0
515,5196,702,4,2015-05-28,280,1,0,0,1
516,5205,222,2,2013-10-01,587,1,0,0,1
517,5210,1058,1,2014-09-29,877,1,1,0,0
518,5211,1040,3,2013-04-10,887,1,1,0,0
519,5234,1065,6,2015-03-07,321,1,0,0,0
520,5238,674,4,2014-06-05,1011,1,1,0,0
521,5242,767,1,2013-02-18,809,1,1,0,0
522,5253,869,3,2013-05-08,868,1,0,0,0
523,5262,224,3,2013-04-17,311,1,0,0,0
524,5318,463,4,2015-04-16,952,1,1,0,0
525,5327,1094,7,2014-04-06,0,0,0,0,0
526,5334,670,3,2013-05-15,743,1,1,0,0
527,5366,347,3,2014-08-20,338,1,1,0,1
528,5384,547,2,2013-10-22,425,1,1,0,0
529,5395,1113,7,2013-09-29,0,0,0,0,0
530,5397,764,3,2015-07-08,416,1,0,0,0
531,5399,1071,2,2014-03-04,897,1,1,0,0
532,5419,812,2,2014-06-17,895,1,1,0,0
